CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT;PRICE;TOWN;TOWN#;TRACT;LAT;LON
0,00632;18;2,31;0;0,538;6.575;65,2;4,09;1;296;15,3;396,9;4,98;24;Nahant;0;2011;42,255;-70,955
0,02731;0;7,07;0;0,469;6.421;78,9;49.671;2;242;17,8;396,9;9,14;21,6;Swampscott;1;2021;42,2875;-70,95
0,02729;0;7,07;0;0,469;7.185;61,1;49.671;2;242;17,8;392,83;4,03;34,7;Swampscott;1;2022;42,283;-70,936
0,03237;0;2,18;0;0,458;6.998;45,8;60.622;3;222;18,7;394,63;2,94;33,4;Marblehead;2;2031;42,293;-70,928
0,06905;0;2,18;0;0,458;7.147;54,2;60.622;3;222;18,7;396,9;5,33;36,2;Marblehead;2;2032;42,298;-70,922
0,02985;0;2,18;0;0,458;6,43;58,7;60.622;3;222;18,7;394,12;5,21;28,7;Marblehead;2;2033;42,304;-70,9165
0,08829;12,5;7,87;0;0,524;6.012;66,6;55.605;5;311;15,2;395,6;12,43;22,9;Salem;3;2041;42,297;-70,936
0,14455;12,5;7,87;0;0,524;6.172;96,1;59.505;5;311;15,2;396,9;19,15;27,1;Salem;3;2042;42,31;-70,9375
0,21124;12,5;7,87;0;0,524;5.631;100;60.821;5;311;15,2;386,63;29,93;16,5;Salem;3;2043;42,312;-70,933
0,17004;12,5;7,87;0;0,524;6.004;85,9;65.921;5;311;15,2;386,71;17,1;18,9;Salem;3;2044;42,316;-70,929
0,22489;12,5;7,87;0;0,524;6.377;94,3;63.467;5;311;15,2;392,52;20,45;15;Salem;3;2045;42,316;-70,935
0,11747;12,5;7,87;0;0,524;6.009;82,9;62.267;5;311;15,2;396,9;13,27;18,9;Salem;3;2046;42,317;-70,944
0,09378;12,5;7,87;0;0,524;5.889;39;54.509;5;311;15,2;390,5;15,71;21,7;Salem;3;2047;42,306;-70,951
0,62976;0;8,14;0;0,538;5.949;61,8;47.075;4;307;21;396,9;8,26;20,4;Lynn;4;2051;42,292;-70,9645
0,63796;0;8,14;0;0,538;6.096;84,5;44.619;4;307;21;380,02;10,26;18,2;Lynn;4;2052;42,287;-70,972
0,62739;0;8,14;0;0,538;5.834;56,5;44.986;4;307;21;395,62;8,47;19,9;Lynn;4;2053;42,294;-70,9765
105.393;0;8,14;0;0,538;5.935;29,3;44.986;4;307;21;386,85;6,58;23,1;Lynn;4;2054;42,2985;-70,987
0,7842;0;8,14;0;0,538;5,99;81,7;42.579;4;307;21;386,75;14,67;17,5;Lynn;4;2055;42,285;-70,978
0,80271;0;8,14;0;0,538;5.456;36,6;37.965;4;307;21;288,99;11,69;20,2;Lynn;4;2056;42,2825;-70,9925
0,7258;0;8,14;0;0,538;5.727;69,5;37.965;4;307;21;390,95;11,28;18,2;Lynn;4;2057;42,2776;-70,988
125.179;0;8,14;0;0,538;5,57;98,1;37.979;4;307;21;376,57;21,02;13,6;Lynn;4;2058;42,277;-70,9835
0,85204;0;8,14;0;0,538;5.965;89,2;40.123;4;307;21;392,53;13,83;19,6;Lynn;4;2059;42,281;-70,982
123.247;0;8,14;0;0,538;6.142;91,7;39.769;4;307;21;396,9;18,72;15,2;Lynn;4;2060;42,279;-70,9775
0,98843;0;8,14;0;0,538;5.813;100;40.952;4;307;21;394,54;19,88;14,5;Lynn;4;2061;42,279;-70,973
0,75026;0;8,14;0;0,538;5.924;94,1;43.996;4;307;21;394,33;16,3;15,6;Lynn;4;2062;42,2816;-70,9693
